list_code,tsc_criteria,criteria_code,assigned_as,comments
ActionPlan,,"A1c, B1+B2c",,
ActionPlan,,A2+3+4bc,,
ActionPlan,,A2+3+4b; C1,,
ActionPlan,,A2+3+4bcde,,
ActionPlan,,A2abc+3bce+4bce,,
ActionPlan,,A2abce+3abce+4abce,,
ActionPlan,,A2abce+3bce+4abce,,
ActionPlan,,A2bc+3c+4bc,,
ActionPlan,,A2bc+3c+4c,,
ActionPlan,,"A2bc, C1+2a(ii)",,
ActionPlan,,A2bce+3bce+4bce,,
ActionPlan,,A2c+3c+4c,,
ActionPlan,,A3+4be (breeding population),,
ActionPlan,,A3+4cde,,
ActionPlan,,A3c+4bc,,
ActionPlan,,"A4bc, B2ab(iii,v)",,
ActionPlan,,Approaching A2+3+4bce,,
ActionPlan,,"Approaching A2+3+4bde, B2ab(i,ii,iii,iv,v) (visiting population)",,
ActionPlan,,Approaching A2+3+4cde (visiting population),,
ActionPlan,,Approaching A2+3+4de,,
ActionPlan,,"Approaching A2ab, B2ab(v)",,
ActionPlan,,Approaching A2bc+3c+4bc,,
ActionPlan,,Approaching A2c+3c+4c,,
ActionPlan,,approaching A2ce+3ce+4ce,,
ActionPlan,,Approaching A3+4bcd,,
ActionPlan,,"Approaching A3c+4c, C2a(ii), D1",,
ActionPlan,,"Approaching B1+2ab(i,ii,iii,iv,v)",,
ActionPlan,,"Approaching B2ab(ii,iii,iv)",,
