sample_destination,tsc_sample_destination,tsc_criteria
WA_HERB,wa-herbarium,2
DIS_HERB,other-herbarium,9
INT_HERB,other-herbarium,9
REG_HERB,other-herbarium,9
KPK_HERB,other-herbarium,9
PER_HERB,other-herbarium,9
UWA_HERB,uwa-herbarium,8
ORG_HERB,other-herbarium,9
