list_code_wa,criteria_code_wa,assigned_as_in_tsc,tsc_criteria,comments_MP,actions_required
IUCN_2001,"A3c, B2ab(ii,iii,iv)","A3c,B2a,B2b(ii,iii,iv)","123,141,143,144,145",,
IUCN_2001,"A3cd; B1ab(i,ii,iii,iv,v)+ B2ab(i,ii,iii,iv,v)","A3c,A3d,B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v)","123,124,131,132,133,134,135,136,141,142,143,144,145,146,",,
IUCN_2001,A3ce,"A3c,A3e","123,125",,
IUCN_2001,A3(c)(e),"A3c,A3e","123,125",,
IUCN_2001,"A3ce; B2b(i,ii,iii,iv)","A3c,A3e,B2b(i,ii,iii,iv)","123,125,142,143,144,145,",,
IUCN_2001,A3d,A3d,124,,
IUCN_2001,A3e,A3e,125,,
IUCN_2001,"A3e; B1ab(iii,v)+2ab(iii,v); C1","A3e,B1a,B1b(iii,v),B2a,B2b(iii,v),C1","125,131,134,136,141,144,146,151,",,
IUCN_2001,A4a; B1ab(v)+B2ab(v); D,"A4a,B1a,B1b(v),B2a,B2b(v),D","126,131,136,141,146,154,",,
IUCN_2001,A4ac,"A4a,A4c","126,128",,
IUCN_2001,"A4ac; B2ab(iii,iv); C2a(i,ii); D","A4a,A4c,B2a,B2b(iii,iv),C2a(i,ii),D","126,128,141,144,145,152,154,158,",,
IUCN_2001,A4c;  B1ab(iii)+B2ab(iii),"A4c,B1a,B1b(iii),B2a,B2b(iii)","128,131,134,141,144,",,
IUCN_2001,"A4c; Ba1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i); D","A4c,B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C2a(i),D","128,131,132,133,134,135,136,141,142,143,144,145,146,152,154,",,
IUCN_2001,A4c; C1,"A4c,C1","128,151",,
IUCN_2001,A4ce; B1ab(iii)+2ab(iii); C2a(ii),"A4c,A4e,B1a,B1b(iii),B2a,B2b(iii),C2a(ii)","128,130,131,134,141,144,158,",,
IUCN_2001,"B1+2ab(iii,v)","B1a,B1b(iii,v),B2a,B2b(iii,v)","131,134,136,141,144,146,",,
IUCN_2001,"B1&2a,b(v); C2a(I,ii): D","B1a,B1b(v),B2a,B2b(v),C2a(i,ii),D","131,136,141,146,152,158,154,",,
IUCN_2001,B1+2bc,,,No B1 or 2bc,
IUCN_2001,B1+2c,,,No B1 or 2c,
IUCN_2001,B1+2c; C2a,,,"No B1 or 2c, or C2a",
IUCN_2001,B1+2c; C2a; D,D,154,"No B1 or 2c, or C2a",
IUCN_2001,B1+2ce; C2a,,,"No B1 or 2ce, or C2a",
IUCN_2001,B1+2e,,,B1 or 2e,
IUCN_2001,B1ab(iii),"B1a, B1b(iii)","131,134,",,
IUCN_2001,B1ab(iii) + 2ab(iii),"B1a,B1b(iii),B2a,B2b(iii)","131,134,141,144,",,
IUCN_2001,B1ab(iii)+2ab(iii),"B1a,B1b(iii),B2a,B2b(iii)","131,134,141,144,",,
IUCN_2001,B1ab(iii)+2ab(iii); C1,"B1a,B1b(iii),B2a,B2b(iii), C1","131,134,141,144,151,",,
IUCN_2001,B1ab(iii)+2ab(iii); C1+2a(ii),"B1a,B1b(iii),B2a,B2b(iii), C1,C2a(ii)","131,134,141,144,151,158,",,
IUCN_2001,"B1ab(iii)+2ab(iii), C2a(i)","B1a,B1b(iii),B2a,B2b(iii), C2a(i)","131,134,141,144,152,",,
IUCN_2001,B1ab(iii)+2ab(iii); C2a(i),"B1a,B1b(iii),B2a,B2b(iii), C2a(i)","131,134,141,144,152,",,
IUCN_2001,B1ab(iii)+2ab(iii); D,"B1a,B1b(iii),B2a,B2b(iii),D","131,134,141,144,154,",,
IUCN_2001,B1ab(iii)+2Bab(iii),"B1a,B1b(iii),B2a,B2b(iii)","131,134,141,144,",,
IUCN_2001,B1ab(iii)+B2ab(iii),"B1a,B1b(iii),B2a,B2b(iii)","131,134,141,144,",,
IUCN_2001,B1ab(iii)+B2ab(iii); C1,"B1a,B1b(iii),B2a,B2b(iii),C1","131,134,141,144,151,",,
IUCN_2001,"B1ab(i,ii,iii,1v,v)+2ab(i,ii,iii,1v,v); C2a; D","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),D","131,132,133,134,135,136,141,142,143,144,145,146,154,",No C2a,
IUCN_2001,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv); D","B1a,B2b(i,ii,iii,iv),B2a,B2b(i,ii,iii,iv),D","131,132,133,134,135,141,142,143,144,145,154,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v)","131,132,133,134,135,136,141,142,143,144,145,146,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C1","131,132,133,134,135,136,141,142,143,144,145,146,151,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i)","B1a,B2b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C1,C2a(i)","131,132,133,134,135,136,141,142,143,144,145,146,151,152,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i); D","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C2a(i),D","131,132,133,134,135,136,141,142,143,144,145,146,152,154,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i,ii);D","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C2a(i,ii),D","131,132,133,134,135,136,141,142,143,144,145,146,152,158,154,",,
IUCN_2001,"B1ab(i, ii, iii, iv, v)+2b(i, ii, iii, iv, v)","B1a,B1b(i,ii,iii,iv,v),B2b(i,ii,iii,iv,v)","131,132,133,134,135,136,141,142,143,144,145,146,",,
IUCN_2001,"B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v); C2(a)(i)","B1a,B1b(i,ii,iii,iv,v),B2a,B2b(i,ii,iii,iv,v),C2a(i)","131,132,133,134,135,136,141,142,143,144,145,146,152,",,
IUCN_2001,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1a,B1b(i,ii,iii,v),B2a,B2b(i,ii,iii,v)","131,132,133,134,136,141,142,143,144,146,",,
IUCN_2001,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v);C1+2a(i)","B1a,B1b(i,ii,iii,v),B2a,B2b(i,ii,iii,v),C1,C2a(i)","131,132,133,134,136,141,142,143,144,146,151,152,",,
IUCN_2001,"B1ab(i,ii,iii,v); C2a(i); D","B1a,B1b(i,ii,iii,v),C2a(i),D","131,132,133,134,136,152,154,",,
IUCN_2001,"B1ab(ii,iii,iv,v) + 2ab(ii,iii,iv,v)","B1a,B1b(ii,iii,iv,v),B2a,B2b(ii,iii,iv,v)","131,133,134,135,136,141,143,144,145,146,",,
IUCN_2001,"B1ab(ii,iii,v)","B1a,B1b(ii,iii,v)","131,133,134,136,",,
IUCN_2001,"B1ab(ii,iii,v)+2ab(ii,iii,v)","B1a,B1b(ii,iii,v),B2a,B2b(ii,iii,v)","131,133,134,136,141,146,144,146,",,
IUCN_2001,"B1ab(ii,iii,v)+2ab(ii.iii.v)","B1a,B1b(ii,iii,v),B2a,B2b(ii,iii,v)","131,133,134,136,141,146,144,146,",,
IUCN_2001,"B1ab(ii,iii,v)+B2ab(ii,iii,v)","B1a,B1b(ii,iii,v),B2a,B2b(ii,iii,v)","131,133,134,136,141,146,144,146,",,
IUCN_2001,"B1ab(ii,iii,v)+B2ab(ii,iii,v); C2(a)(i)","B1a,B2b(ii,iii,v),B2a,B2b(ii,iii,v),C2a(i)","131,133,134,136,141,146,144,146,152,",,
IUCN_2001,"B1ab(iii,iv)+2ab(iii,iv)","B1a,B1b(iii,iv),B2a,B2b(iii,iv)","131,134,135,141,144,145,",,
IUCN_2001,"B1ab(iii,iv)+2ab(iii,iv); C2a(i)","B1a,B1b(iii,iv),B2a,B2b(iii,iv),C2a(i)","131,134,135,141,144,145,152,",,
IUCN_2001,"B1ab(iii,iv)+B2ab(iii,iv)","B1a,B1b(iii,iv),B2a,B2b(iii,iv)","131,134,135,141,144,145,",,
IUCN_2001,"B1ab(iii,iv)+B2ab(iii,iv); D","B1a,B1b(iii,iv),B2a,B2b(iii,iv),D","131,134,135,141,144,145,154,",,
IUCN_2001,"B1ab(iii,iv,v)+2ab(iii,iv,v)","B1a,B1b(iii,iv,v),B2a,B2b(iii,iv,v)","131,134,135,136,141,144,145,146,",,
IUCN_2001,"B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(i); D","B1a,B1b(iii,iv,v),B2a,B2b(iii,iv,v),C2a(i),D","131,134,135,136,141,144,145,146,152,154,",,
IUCN_2001,"B1ab(iii,iv,v)+B2ab(iii,iv,v)","B1a,B1b(iii,iv,v),B2a,B2b(iii,iv,v)","131,134,135,136,141,144,145,145,",,
IUCN_2001,"B1ab(iii,iv,v)+B2ab(iii,iv,v); C2a(i)","B1a,B1b(iii,iv,v),B2a,B2b(iii,iv,v),C2a(i)","131,134,135,136,141,144,145,145,152,",,
IUCN_2001,"B1ab(iii,iv,v)+B2ab(ii,iv,v); C2a(i); D","B1a,B1b(iii,iv,v),B2a,B2b(ii,iv,v),C2a(i),D","131,134,135,136,141,143,145,145,154,",,
IUCN_2001,"B1ab(iii,v)","B1a,B1b(iii,v)","131,134,136,",,
IUCN_2001,"B1ab(iii,v)+2ab (iii,v)","B1a,B1b(iii,v),B2a,B2b (iii,v)","131,134,136,141,144,146,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v)","B1a,B1b(iii,v),B2a,B2b(iii,v)","131,134,136,141,144,146,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C1; D","B1a,B1b(iii,v),B2a,B2b(iii,v),C1,D","131,134,136,141,144,146,151,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(i)","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i)","131,134,136,141,144,146,152,",,
IUCN_2001,"B1ab(iii,v)+2 ab(iii,v); C2a(i); D","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i),D","131,134,136,141,144,146,152,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(i);D","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i),D","131,134,136,141,144,146,152,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(i); D","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i),D","131,134,136,141,144,146,152,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(ii)","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(ii)","131,134,136,141,144,146,158,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v);C2a(ii)b","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(ii),C2b","131,134,136,141,144,146,158,153,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(ii); D","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(ii),D","131,134,136,141,144,146,158,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(i,ii)b; D","B1a,B1b(iii,v),B2a,B2b(iii,v),C2a(i,ii),C2b,D","131,134,136,141,144,146,152,158,153,154,",,
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); C2a(iii,v)","B1a,B1b(iii,v),B2a,B2b(iii,v)","131,134,136,141,144,146,","No C2a(iii,v)",
IUCN_2001,"B1ab(iii,v)+2ab(iii,v); D","B1a,B1b(iii,v),B2a,B2b(iii,v),D","131,134,136,141,144,146,154,",,
IUCN_2001,"B1ab(iii,v) + B2ab(iii,v)","B1a,B1b(iii,v),B2a,B2b(iii,v)","131,134,136,141,144,146,",,
